6.3865 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1280, 800]. Using actual size
7.6675 	EXP 	noise: noiseFilterOrder = 0.0
7.6675 	EXP 	noise: noiseClip = 3.0
7.6675 	EXP 	noise: tex = array([[ 1., -1., -1.,  1.,  1., -1.,  1.,  1.],
       [-1., -1.,  1.,  1., -1., -1., -1.,  1.],
       [-1., -1.,  1.,  1.,  1., -1.,  1.,  1.],
       [ 1., -1.,  1.,  1., -1.,  1.,  1., -1.],
       [ 1.,  1., -1.,  1., -1., -1.,  1.,  1.],
       [-1., -1., -1., -1., -1., -1., -1., -1.],
       [ 1.,  1.,  1.,  1., -1., -1.,  1., -1.],
       [ 1., -1.,  1., -1.,  1., -1., -1.,  1.]])
7.6675 	EXP 	noise: tex = array([[-1., -1.,  1., -1.,  1., -1.,  1., -1.],
       [ 1.,  1.,  1., -1., -1., -1.,  1.,  1.],
       [-1., -1.,  1., -1., -1.,  1.,  1., -1.],
       [-1.,  1.,  1., -1., -1.,  1.,  1.,  1.],
       [-1.,  1.,  1., -1.,  1., -1., -1.,  1.],
       [-1., -1.,  1., -1., -1., -1., -1., -1.],
       [ 1.,  1., -1.,  1.,  1., -1.,  1.,  1.],
       [ 1.,  1.,  1.,  1., -1.,  1., -1., -1.]])
7.6675 	EXP 	text: text = 'Bem vindo. \nLeia as instrucoes no papel.'
7.6675 	EXP 	text: autoDraw = True
12.1750 	DATA 	Keypress: t
12.2070 	EXP 	text: autoDraw = False
12.2070 	EXP 	textPractice: autoDraw = True
12.7747 	DATA 	Keypress: t
12.7822 	EXP 	Imported practiceBlock.csv as conditions, 22 conditions, 2 params
12.7827 	EXP 	Created sequence: random, trialTypes=22, nReps=5, seed=None
12.7831 	EXP 	New trial (rep=0, index=0): OrderedDict([('stimFile', 'stims/006.i.jpg'), ('Valence', 'Practice')])
12.8723 	EXP 	textPractice: autoDraw = False
12.8723 	EXP 	image: image = 'stims/006.i.jpg'
12.8723 	EXP 	image: autoDraw = True
13.4878 	EXP 	image: autoDraw = False
13.5041 	EXP 	noise: autoDraw = True
13.9872 	EXP 	New trial (rep=0, index=1): OrderedDict([('stimFile', 'stims/018.i.jpg'), ('Valence', 'Practice')])
14.0196 	EXP 	image: autoDraw = False
14.0196 	EXP 	noise: autoDraw = False
14.0196 	EXP 	image: image = 'stims/018.i.jpg'
14.0196 	EXP 	image: autoDraw = True
14.7012 	EXP 	image: autoDraw = False
14.7180 	EXP 	noise: autoDraw = True
15.1845 	EXP 	New trial (rep=0, index=2): OrderedDict([('stimFile', 'stims/011.i.jpg'), ('Valence', 'Practice')])
15.2168 	EXP 	image: autoDraw = False
15.2168 	EXP 	noise: autoDraw = False
15.2168 	EXP 	image: image = 'stims/011.i.jpg'
15.2168 	EXP 	image: autoDraw = True
15.8986 	EXP 	image: autoDraw = False
15.9156 	EXP 	noise: autoDraw = True
16.3816 	EXP 	New trial (rep=0, index=3): OrderedDict([('stimFile', 'stims/004.i.jpg'), ('Valence', 'Practice')])
16.3972 	EXP 	image: autoDraw = False
16.3972 	EXP 	noise: autoDraw = False
16.3972 	EXP 	image: image = 'stims/004.i.jpg'
16.3972 	EXP 	image: autoDraw = True
17.0957 	EXP 	image: autoDraw = False
17.1125 	EXP 	noise: autoDraw = True
17.5781 	EXP 	New trial (rep=0, index=4): OrderedDict([('stimFile', 'stims/007.i.jpg'), ('Valence', 'Practice')])
17.5943 	EXP 	image: autoDraw = False
17.5943 	EXP 	noise: autoDraw = False
17.5943 	EXP 	image: image = 'stims/007.i.jpg'
17.5943 	EXP 	image: autoDraw = True
18.2930 	EXP 	image: autoDraw = False
18.3096 	EXP 	noise: autoDraw = True
18.7765 	EXP 	New trial (rep=0, index=5): OrderedDict([('stimFile', 'stims/008.i.jpg'), ('Valence', 'Practice')])
18.7920 	EXP 	noise: autoDraw = False
18.7920 	EXP 	image: autoDraw = False
18.7920 	EXP 	noise: autoDraw = False
18.7920 	EXP 	image: image = 'stims/008.i.jpg'
18.7920 	EXP 	image: autoDraw = True
19.4901 	EXP 	image: autoDraw = False
19.5069 	EXP 	noise: autoDraw = True
19.9732 	EXP 	New trial (rep=0, index=6): OrderedDict([('stimFile', 'stims/014.i.jpg'), ('Valence', 'Practice')])
19.9887 	EXP 	noise: autoDraw = False
19.9887 	EXP 	image: autoDraw = False
19.9887 	EXP 	noise: autoDraw = False
19.9887 	EXP 	image: image = 'stims/014.i.jpg'
19.9887 	EXP 	image: autoDraw = True
20.6874 	EXP 	image: autoDraw = False
20.7039 	EXP 	noise: autoDraw = True
21.1709 	EXP 	New trial (rep=0, index=7): OrderedDict([('stimFile', 'stims/012.i.jpg'), ('Valence', 'Practice')])
21.1859 	EXP 	noise: autoDraw = False
21.1859 	EXP 	image: autoDraw = False
21.1859 	EXP 	noise: autoDraw = False
21.1859 	EXP 	image: image = 'stims/012.i.jpg'
21.1859 	EXP 	image: autoDraw = True
21.8845 	EXP 	image: autoDraw = False
21.9013 	EXP 	noise: autoDraw = True
22.3678 	EXP 	New trial (rep=0, index=8): OrderedDict([('stimFile', 'stims/020.i.jpg'), ('Valence', 'Practice')])
22.3833 	EXP 	noise: autoDraw = False
22.3833 	EXP 	image: autoDraw = False
22.3833 	EXP 	noise: autoDraw = False
22.3833 	EXP 	image: image = 'stims/020.i.jpg'
22.3833 	EXP 	image: autoDraw = True
23.0815 	EXP 	image: autoDraw = False
23.0984 	EXP 	noise: autoDraw = True
23.5650 	EXP 	New trial (rep=0, index=9): OrderedDict([('stimFile', 'stims/019.i.jpg'), ('Valence', 'Practice')])
23.5803 	EXP 	noise: autoDraw = False
23.5803 	EXP 	image: autoDraw = False
23.5803 	EXP 	noise: autoDraw = False
23.5803 	EXP 	image: image = 'stims/019.i.jpg'
23.5803 	EXP 	image: autoDraw = True
24.2788 	EXP 	image: autoDraw = False
24.2957 	EXP 	noise: autoDraw = True
24.7621 	EXP 	New trial (rep=0, index=10): OrderedDict([('stimFile', 'stims/013.i.jpg'), ('Valence', 'Practice')])
24.7775 	EXP 	noise: autoDraw = False
24.7775 	EXP 	image: autoDraw = False
24.7775 	EXP 	noise: autoDraw = False
24.7775 	EXP 	image: image = 'stims/013.i.jpg'
24.7775 	EXP 	image: autoDraw = True
25.4760 	EXP 	image: autoDraw = False
25.4926 	EXP 	noise: autoDraw = True
25.9596 	EXP 	New trial (rep=0, index=11): OrderedDict([('stimFile', 'stims/002.i.jpg'), ('Valence', 'Practice')])
25.9748 	EXP 	noise: autoDraw = False
25.9748 	EXP 	image: autoDraw = False
25.9748 	EXP 	noise: autoDraw = False
25.9748 	EXP 	image: image = 'stims/002.i.jpg'
25.9748 	EXP 	image: autoDraw = True
26.6730 	EXP 	image: autoDraw = False
26.6897 	EXP 	noise: autoDraw = True
27.1566 	EXP 	New trial (rep=0, index=12): OrderedDict([('stimFile', 'stims/009.i.jpg'), ('Valence', 'Practice')])
27.1721 	EXP 	noise: autoDraw = False
27.1721 	EXP 	image: autoDraw = False
27.1721 	EXP 	noise: autoDraw = False
27.1721 	EXP 	image: image = 'stims/009.i.jpg'
27.1721 	EXP 	image: autoDraw = True
27.8702 	EXP 	image: autoDraw = False
27.8871 	EXP 	noise: autoDraw = True
28.3540 	EXP 	New trial (rep=0, index=13): OrderedDict([('stimFile', 'stims/016.i.jpg'), ('Valence', 'Practice')])
28.3690 	EXP 	noise: autoDraw = False
28.3690 	EXP 	image: autoDraw = False
28.3690 	EXP 	noise: autoDraw = False
28.3690 	EXP 	image: image = 'stims/016.i.jpg'
28.3690 	EXP 	image: autoDraw = True
29.0674 	EXP 	image: autoDraw = False
29.0844 	EXP 	noise: autoDraw = True
29.5511 	EXP 	New trial (rep=0, index=14): OrderedDict([('stimFile', 'stims/022.i.jpg'), ('Valence', 'Practice')])
29.5655 	EXP 	noise: autoDraw = False
29.5655 	EXP 	image: autoDraw = False
29.5655 	EXP 	noise: autoDraw = False
29.5655 	EXP 	image: image = 'stims/022.i.jpg'
29.5655 	EXP 	image: autoDraw = True
30.2639 	EXP 	image: autoDraw = False
30.2812 	EXP 	noise: autoDraw = True
30.7481 	EXP 	New trial (rep=0, index=15): OrderedDict([('stimFile', 'stims/001.i.jpg'), ('Valence', 'Practice')])
30.7634 	EXP 	noise: autoDraw = False
30.7634 	EXP 	image: autoDraw = False
30.7634 	EXP 	noise: autoDraw = False
30.7634 	EXP 	image: image = 'stims/001.i.jpg'
30.7634 	EXP 	image: autoDraw = True
31.4622 	EXP 	image: autoDraw = False
31.4785 	EXP 	noise: autoDraw = True
31.9453 	EXP 	New trial (rep=0, index=16): OrderedDict([('stimFile', 'stims/017.i.jpg'), ('Valence', 'Practice')])
31.9603 	EXP 	noise: autoDraw = False
31.9603 	EXP 	image: autoDraw = False
31.9603 	EXP 	noise: autoDraw = False
31.9603 	EXP 	image: image = 'stims/017.i.jpg'
31.9603 	EXP 	image: autoDraw = True
32.6593 	EXP 	image: autoDraw = False
32.6757 	EXP 	noise: autoDraw = True
33.1427 	EXP 	New trial (rep=0, index=17): OrderedDict([('stimFile', 'stims/010.i.jpg'), ('Valence', 'Practice')])
33.1742 	EXP 	noise: autoDraw = False
33.1742 	EXP 	image: autoDraw = False
33.1742 	EXP 	noise: autoDraw = False
33.1742 	EXP 	image: image = 'stims/010.i.jpg'
33.1742 	EXP 	image: autoDraw = True
33.8562 	EXP 	image: autoDraw = False
33.8726 	EXP 	noise: autoDraw = True
34.3397 	EXP 	New trial (rep=0, index=18): OrderedDict([('stimFile', 'stims/003.i.jpg'), ('Valence', 'Practice')])
34.3549 	EXP 	noise: autoDraw = False
34.3549 	EXP 	image: autoDraw = False
34.3549 	EXP 	noise: autoDraw = False
34.3549 	EXP 	image: image = 'stims/003.i.jpg'
34.3549 	EXP 	image: autoDraw = True
35.0535 	EXP 	image: autoDraw = False
35.0702 	EXP 	noise: autoDraw = True
35.5368 	EXP 	New trial (rep=0, index=19): OrderedDict([('stimFile', 'stims/015.i.jpg'), ('Valence', 'Practice')])
35.5524 	EXP 	noise: autoDraw = False
35.5524 	EXP 	image: autoDraw = False
35.5524 	EXP 	noise: autoDraw = False
35.5524 	EXP 	image: image = 'stims/015.i.jpg'
35.5524 	EXP 	image: autoDraw = True
36.2507 	EXP 	image: autoDraw = False
36.2674 	EXP 	noise: autoDraw = True
36.7341 	EXP 	New trial (rep=0, index=20): OrderedDict([('stimFile', 'stims/021.i.jpg'), ('Valence', 'Practice')])
36.7659 	EXP 	noise: autoDraw = False
36.7659 	EXP 	image: autoDraw = False
36.7659 	EXP 	noise: autoDraw = False
36.7659 	EXP 	image: image = 'stims/021.i.jpg'
36.7659 	EXP 	image: autoDraw = True
37.4477 	EXP 	image: autoDraw = False
37.4646 	EXP 	noise: autoDraw = True
37.7695 	DATA 	Keypress: escape
38.0593 	EXP 	window1: mouseVisible = True
